u,v,length
256363239,286633611,245.62299999999996
256363241,345538790,46.948
256363466,1054616958,49.526
256363466,274242530,73.176
257006538,2606171135,11.946
257006538,1180215222,39.217
257006540,1180215220,111.601
257171440,257171469,75.06
257171440,257171471,39.885
257171441,257171484,33.057
257171441,1025346383,30.682000000000002
257171458,232216521,392.39300000000003
257171458,1026550271,49.81399999999999
257171469,257171440,75.06
257171471,1025346383,47.181
257171471,257171479,116.941
257171479,1025346385,40.464
257171479,274480055,73.797
257171479,292206280,64.986
257171479,1025346370,66.143
257171484,1618530639,46.698
257171484,257171441,33.057
257171484,1002550765,78.558
257171709,257171718,341.841
257171718,1685959767,545.6040000000002
257171718,257171709,341.841
257362380,1095691798,942.2590000000001
257362380,1095691610,28.213
257362380,1095691733,638.4889999999999
257362380,1095691419,144.66899999999998
257503927,4576848790,240.96500000000003
257503927,292204101,44.354
257504095,292206237,63.217999999999996
257504095,4856120482,114.353
257504095,274480055,58.29899999999999
257508650,289560034,130.791
257508650,2498627622,14.141000000000002
259971929,5072349082,13.643
261738996,311742913,592.0540000000001
261738997,261738996,417.87800000000004
261738997,316732551,378.276
262147478,4862273069,8.167
262147478,262147534,64.738
262147478,289338725,107.79899999999999
262147534,1042244738,47.237
271052933,3005306894,30.116
271052935,990023337,12.732
271052935,340338506,42.151
271052939,597656542,112.66099999999999
271052939,295886864,65.40700000000001
271052941,2719227999,23.304000000000002
271052941,2556822835,22.650999999999996
271053039,7808553566,59.084999999999994
271053083,2977110237,119.802
271053083,1822894556,80.687
274240805,274240807,31.715999999999998
274240807,274240809,22.458
274240807,274240809,249.22000000000003
274240809,2414714348,6.308
274240904,274240907,103.653
274240904,274240907,175.63899999999998
274240907,365548994,244.22799999999995
274241035,289558700,14.526
274241035,566141268,51.772
274241036,289558691,129.48100000000002
274241036,274241038,111.72200000000001
274241038,6190548822,62.259
274241038,235148491,62.449999999999996
274241537,274241643,55.058
274241537,3331397214,55.53
274241643,5087333519,23.201
274241644,274241643,52.95100000000001
274241644,3331397214,96.03599999999999
274241647,243845374,343.78700000000003
274241647,7808553582,19.57
274241784,7808553579,25.604
274241784,1618530684,54.983
274242007,5087333519,102.976
274242011,293398223,42.104
274242011,1013426205,422.902
274242063,598449665,78.786
274242063,3331397216,274.53499999999997
274242065,366080458,13.239
274242065,1618530749,39.891999999999996
274242530,1054616751,50.629
274242530,286633612,188.52299999999997
274242530,256363241,56.424
274242671,291157856,242.84699999999998
274242671,291157856,242.02800000000002
274477794,318300340,34.998999999999995
274477917,8739577275,98.52300000000001
274477917,296293855,135.032
274478115,294055246,136.663
274478115,990023270,15.049
274478283,296294010,59.116
274478283,296294172,151.86200000000002
274479595,290070337,35.786
274479595,290070339,28.130000000000003
274479595,2957737627,33.342
274479667,1002550790,150.048
274479667,281676216,26.840000000000003
274480055,1618530639,57.079
274480055,257504095,58.299
274480055,257171479,73.797
278943426,281722781,39.003
278943426,2600045637,128.47
278943556,3491393283,259.12199999999996
278943556,4347293498,113.698
278943717,1001584165,101.611
278943717,257006540,83.174
278943882,2606167483,126.76499999999999
278943882,278943901,39.80500000000001
278943901,300318357,173.27800000000002
278943904,317145527,130.893
278943904,278943905,138.515
278943905,3005306576,24.326999999999998
278943905,3005306589,26.18
278943983,7017465744,7.275
278943983,278944406,302.14300000000003
278943984,3005306231,351.434
278943984,278945639,29.988
278943984,7017465747,35.985
278944406,2941443017,221.034
278944406,2941442681,261.81300000000005
278945391,492007155,362.9220000000001
278945391,3005305956,30.839999999999996
278945618,278943882,25.804000000000002
278945618,278943901,22.616
278945620,1010153916,35.994
278945620,1010154002,49.733000000000004
278945639,278943984,29.988
278945639,1001584172,78.368
278945639,1001584167,103.936
279077696,1615603766,273.56500000000005
279077696,2991174644,175.73399999999998
279077704,9189029923,7.101
279077704,6905386135,9.723
279077707,286633639,11.749
279077707,1030727472,12.944
279077758,5087417386,113.05999999999999
279077932,1615603776,81.711
279077932,288382090,65.125
279078013,1013426197,67.83100000000002
279078013,279121333,52.025999999999996
279084608,279085212,55.852000000000004
279084608,166091692,87.838
279084958,366155319,57.17399999999999
279085212,527732391,149.869
279085262,279085212,62.616
279085264,990120461,45.771
279085264,239990432,50.510000000000005
279085325,239990433,37.682
279085341,279084608,34.712999999999994
279085341,279085323,25.246000000000002
279085772,984968773,13.527
279085772,356278337,66.583
279085776,526955841,54.522
279085776,526902255,37.873
279085778,356278263,29.464
279085778,356278264,27.125999999999998
279085795,356279479,147.822
279085795,279085894,189.171
279085894,308217304,46.522
279085894,279085912,128.865
279085909,1033405568,29.75
279085909,526959349,37.485
279085911,279085909,48.287
279085912,984741530,9.107
279085912,279085911,16.714000000000002
279086154,4869721967,71.633
279086154,984741548,51.972
279086156,356627248,36.453
279086156,8194220137,47.522999999999996
279086241,7637558827,4.871
279086241,251083380,80.10600000000001
279086241,984741582,277.404
279113003,245088364,52.701
279113003,9189029923,65.773
279121333,279078013,52.026
279121333,279121867,97.773
279121400,279121333,70.6
279121400,1013426197,56.038999999999994
279121636,279084958,125.86299999999997
279121636,239990812,113.652
279121867,279121636,83.646
279121867,279121333,97.773
280170594,1131047320,872.6020000000001
280170594,1131047447,1289.3230000000005
280170594,8637713988,802.1729999999999
280170626,280170649,35.398
